S1;well;1;2;3;4;5;6;7;8;9;10;11;12
;G;7_V1H;340;7_V2H;14_V2D;7_V3H;15_V3H;Blanc;15_V4H;Blanc;15_V5H;7_V6H;15_V6D
;H;303;16_V1D;8_V2D;16_V2D;8_V3D;15_V3D;8_V4H;331;8_V5H;16_V5H;7_V6D;Blanc
;;;;;;;;;;;;;
D2;well;1;2;3;4;5;6;7;8;9;10;11;12
;A;1_V7H;9_V7D;1_V8H;9_V8H;340;9_V9H;1_V10H;9_V10H;1_V11H;9_V11H;1_V12H;303
;B;2_V7H;10_V7H;2_V8H;327;2_V9H;303;2_V10H;10_V10D;2_V11H;10_V11D;331;10_V12H
;C;3_V7D;11_V7H;303;11_V8H;3_V9H;11_V9H;327;11_V10D;3_V11H;Blanc;3_V12H;11_V12H
;D;Blanc;340;4_V8H;12_V8H;3_V9D;12_V9H;4_V10H;340;Blanc;12_V11H;4_V12H;11_V12D
;E;327;331;5_V8H;12_V8D;5_V9H;13_V9H;5_V10H;331;303;13_V11H;5_V12H;13_V12D
;F;6_V7H;14_V7H;Blanc;14_V8H;6_V9H;14_V9D;Blanc;14_V10H;6_V11D;327;6_V12H;14_V12H
;G;6_V7D;15_V7D;7_V8D;Blanc;7_V9H;Blanc;7_V10H;15_V10H;7_V11H;15_V11H;340;14_V12D
;H;8_V7D;16_V7H;8_V8H;16_V8H;331;16_V9H;7_V10D;16_V10D;8_V11D;15_V11D;8_V12D;Blanc
;;;;;;;;;;;;;
D3;well;1;2;3;4;5;6;7;8;9;10;11;12
;A;1_V1H;3_V2H;4_V3H;2_V4H;331;4_V6H;4_V7D;3_V8H;1_V9H;3_V10H;4_V11H;303
;B;4_V1H;6_V2H;4_V3D;Blanc;1_V5H;Blanc;5_V7D;6_V8H;4_V9H;6_V10H;327;2_V12H
;C;8_V1H;Blanc;Blanc;6_V4H;2_V5H;5_V6H;Blanc;10_V8H;4_V9D;340;5_V11H;7_V12H
;D;340;331;5_V3D;7_V4H;4_V5H;8_V6H;7_V7H;331;303;8_V10H;11_V11D;9_V12D
;E;Blanc;327;11_V3D;9_V4H;7_V5H;12_V6H;12_V7H;327;Blanc;12_V10H;14_V11H;12_V12H
;F;10_V1H;12_V2D;303;9_V4D;11_V5H;13_V6H;340;13_V8H;8_V9H;Blanc;14_V11D;15_V12H
;G;15_V1D;13_V2H;14_V3D;340;14_V5D;303;12_V7D;15_V8H;10_V9H;13_V10H;331;16_V12D
;H;1_V1D;15_V2H;16_V3H;16_V4D;327;16_V6H;13_V7D;15_V8D;15_V9D;13_V10D;16_V11H;Blanc
;;;;;;;;;;;;;
D4;well;1;2;3;4;5;6;7;8;9;10;11;12
;A;;;;;;;;;;;;
;B;;;;;;;;;;;;
;C;;;;;;;;;;;;
;D;;;;;;;;;;;;
;E;;;;;;;;;;;;
;F;;;;;;;;;;;;
;G;;;;;;;;;;;;
;H;;;;;;;;;;;;
;;;;;;;;;;;;;
D5;well;1;2;3;4;5;6;7;8;9;10;11;12
;A;;;;;;;;;;;;
;B;;;;;;;;;;;;
;C;;;;;;;;;;;;
;D;;;;;;;;;;;;
;E;;;;;;;;;;;;
;F;;;;;;;;;;;;
;G;;;;;;;;;;;;
;H;;;;;;;;;;;;
